# ================================
# SNID: 100411
# RA: 299.02922070586243
# DEC: -22.43836594392159
# ================================
NVAR: 4
VARNAMES: MJD FLT MAG MAGERR
61888.29760  u_LSST  168.35631  2267997708782900134540080773084735405398326410058171154432.00000
61888.27410  r_LSST  140.23762  8593644509032268638020780838178291728827547648.00000
61865.41050  i_LSST  122.96013  1321322601899801338327684213757379084288.00000
61865.39750  r_LSST  140.23762  6621766445918261651935710657923638007223549952.00000
61858.40500  z_LSST  112.19609  137372685663017590781115792290217984.00000
61832.40060  z_LSST  112.19609  360618661743727368900333259649449984.00000
61832.39750  z_LSST  112.19609  305158330401873938983013692435595264.00000
61832.39450  z_LSST  112.19609  239428669318719792619320972255690752.00000
61832.39140  z_LSST  112.19609  213070803127940625748770205049290752.00000
61709.01690  z_LSST  112.19609  77323103701157361545914719255134208.00000
61709.00510  i_LSST  122.96013  1032864828266094461565480862324340293632.00000
61707.01800  z_LSST  112.19609  89629875493410557407012133326028800.00000
61707.00630  i_LSST  122.96013  1165275672128104780167135051329986101248.00000
61706.05430  r_LSST  140.23762  8519124376956277153729434624452807747008724992.00000
61706.03040  g_LSST  161.52183  1382242776955788542521908768682626733218307910909558784.00000
61698.04460  i_LSST  122.96013  1017897592335847792154612370300760752128.00000
61698.01980  r_LSST  140.23762  5308378863665159200064430922796308333955383296.00000
61697.04700  r_LSST  140.23762  11274600189356942789368938653055537149833641984.00000
61697.02210  g_LSST  161.52183  1127885556808730893702566795746453330566405195118411776.00000
61695.08110  z_LSST  112.19609  114434379813899820519321635947282432.00000
61694.05280  i_LSST  122.96013  1576699980039987961019435696754503188480.00000
61694.02750  r_LSST  140.23762  12324612751834868892021671980635214415008890880.00000
61693.06320  z_LSST  112.19609  97794873310456783870541929839067136.00000
61692.05930  z_LSST  112.19609  128105949266396962732178034466488320.00000
61690.11380  z_LSST  112.19609  168301589608548092813216812485312512.00000
61678.08760  z_LSST  112.19609  77117986229157799311269230102446080.00000
61678.08720  z_LSST  112.19609  72634541004319947332024457192538112.00000
61678.06360  i_LSST  122.96013  789387351788343714549723435093754642432.00000
61678.06310  i_LSST  122.96013  800249145485314911798760380003868737536.00000
61676.08500  z_LSST  112.19609  101797323185533987496322382606368768.00000
61676.06030  i_LSST  122.96013  1045190783481095052811058930349001146368.00000
61675.08990  i_LSST  122.96013  749719557877145591393021741282747219968.00000
61675.06600  r_LSST  140.23762  3595197102233255554253145951144464369552719872.00000
61674.11750  z_LSST  112.19609  97225828149763648816268122834075648.00000
61674.11620  z_LSST  112.19609  94586091596444185258919844810588160.00000
61674.09200  i_LSST  122.96013  1114842741327810504722291085295052914688.00000
61674.09070  i_LSST  122.96013  1035562441275375976676444536437701869568.00000
61671.16120  r_LSST  140.23762  7454119256475136951262780880063917469940580352.00000
61671.13730  g_LSST  161.52183  1384115091663038151169744893809177892905154233352847360.00000
61670.16420  i_LSST  122.96013  1241698206176591217234865166416414244864.00000
