# 100012 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2025.06.23 (yyyy.mm.dd); 12.21 hrs (PDT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 100012
MWEBV: 0.044832446
REDSHIFT_HELIO: 0.6543653847300354
REDSHIFT_CMB: 0.6543653847300354
REDSHIFT_CMB_ERR: 0.04618638
PEAKMJD: 61081.3895
FILTERS: i_LSST,r_LSST,z_LSST
# -----------------------------------------------------------
NOBS: 25
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 61131.3019 i_LSST 24.6831 17.0414 24.019002476745808 0.749601441092353
OBS: 61131.2779 r_LSST nan nan nan 0.8378161587770129
OBS: 61121.3268 z_LSST 32.8218 16.415 23.70959282666983 0.5430033844130232
OBS: 61121.3026 i_LSST nan nan nan 2.109905703420803
OBS: 61112.3627 i_LSST 6.7245 5.9786 25.430853809039288 0.9653124536592069
OBS: 61112.3623 i_LSST 10.9655 5.9786 24.899931832021483 0.5919692098703299
OBS: 61112.3389 r_LSST 2.2327 4.0517 26.6279246169465 1.9702888703335528
OBS: 61112.3384 r_LSST 0.7843 4.0517 27.76383124122285 5.609091877281542
OBS: 61110.3854 z_LSST 13.742 13.716 24.65487859824859 1.083687174614288
OBS: 61109.3591 i_LSST nan nan nan 85.41410839217983
OBS: 61109.3351 r_LSST 5.1399 6.1688 25.722611006243216 1.3030675424966343
OBS: 61098.3532 i_LSST 20.2445 9.9876 24.234230040135817 0.5356464337695788
OBS: 61098.3528 i_LSST 18.5896 9.9876 24.326827258295562 0.5833337512040299
OBS: 61098.3292 r_LSST 4.6769 6.8874 25.825095753965552 1.5988919874872332
OBS: 61098.3287 r_LSST 14.4555 6.8874 24.59991396438488 0.5173046834200977
OBS: 61095.3434 z_LSST 29.5531 10.0417 23.823491936765766 0.3689166119273331
OBS: 61095.319 i_LSST 10.4498 6.5654 24.952233394961816 0.6821444806179267
OBS: 61094.3526 i_LSST 24.3049 6.714 24.035763821783263 0.2999260980950789
OBS: 61094.3288 r_LSST 19.0786 7.159 24.2986313886551 0.4074089360975692
OBS: 61091.3971 z_LSST 27.6405 13.3405 23.896134473516554 0.5240217454806794
OBS: 61091.3851 z_LSST 35.1964 13.3405 23.63375482227986 0.4115261610777502
OBS: 61091.3748 i_LSST 24.4268 6.4497 24.03033137470231 0.2866813435527377
OBS: 61089.3907 i_LSST 33.8556 7.1983 23.675922780366026 0.23084605479811524
OBS: 61086.3842 i_LSST 33.3388 6.115 23.692626027262943 0.1991450126728972
OBS: 61081.3895 i_LSST 50.3593 12.5996 23.244799763094353 0.2716455992176731
END:
