# 100001 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2025.06.23 (yyyy.mm.dd); 12.21 hrs (PDT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 100001
MWEBV: 0.06403519
REDSHIFT_HELIO: 0.11310538082081621
REDSHIFT_CMB: 0.11310538082081621
REDSHIFT_CMB_ERR: 0.054902874
PEAKMJD: 61706.2729
FILTERS: g_LSST,i_LSST,r_LSST,z_LSST
# -----------------------------------------------------------
NOBS: 30
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 61755.3106 r_LSST 58.0005 5.3556 23.09141985487484 0.10025336041247458
OBS: 61755.2858 i_LSST 56.6372 6.1013 23.117245388520846 0.11696248423917517
OBS: 61748.1775 z_LSST 58.9234 8.7306 23.0742809114777 0.1608725527101566
OBS: 61748.1528 i_LSST 77.0045 5.8962 22.783709087841917 0.08313358827195193
OBS: 61747.3009 z_LSST 65.457 8.9123 22.960110117537926 0.14782834189515398
OBS: 61747.2791 i_LSST 81.8209 5.5166 22.71783957093815 0.07320363320441077
OBS: 61743.2577 r_LSST 78.8375 2.708 22.758168238437207 0.03729441691673648
OBS: 61743.2331 g_LSST 34.8485 1.8425 23.644538260905925 0.057404902239804864
OBS: 61741.2576 i_LSST 87.5236 4.5167 22.64468703353451 0.056029491865355316
OBS: 61741.2571 i_LSST 95.3849 4.5167 22.551301457364293 0.051411757854036844
OBS: 61741.2334 r_LSST 88.975 2.9177 22.626830221342153 0.03560411366656095
OBS: 61741.233 r_LSST 80.7016 2.9177 22.732794159595066 0.03925416595041812
OBS: 61740.2365 z_LSST 68.2665 9.4293 22.914480611147535 0.14996743982081712
OBS: 61740.2116 i_LSST 80.8961 3.9123 22.730180969292626 0.05250898764498352
OBS: 61737.357 i_LSST 108.0629 9.0743 22.41580895286597 0.0911717607585344
OBS: 61737.3442 z_LSST 86.7536 9.5531 22.654281415994397 0.11955808198145645
OBS: 61734.2885 i_LSST 92.9814 5.5669 22.57900982586058 0.06500411432273877
OBS: 61734.2642 r_LSST 98.473 2.9196 22.51670689700737 0.03219020011924202
OBS: 61728.2653 i_LSST 125.7366 6.847 22.25134574437302 0.05912413734176556
OBS: 61728.2412 r_LSST 107.6354 4.4961 22.420112401283987 0.04535334032086127
OBS: 61720.3111 z_LSST 153.071 8.5952 22.037767870889517 0.060965781993345264
OBS: 61718.348 z_LSST 156.9259 8.8196 22.010763614989983 0.061020986680940664
OBS: 61717.3377 r_LSST 141.6114 2.3243 22.12225432588388 0.017820571259919437
OBS: 61717.3105 g_LSST 50.6554 1.4941 23.238436537406024 0.0320245588345106
OBS: 61711.3262 i_LSST 224.6338 5.1967 21.621312203395874 0.025117358042797563
OBS: 61711.3015 r_LSST 177.2624 2.8656 21.878458199000125 0.01755205754379424
OBS: 61710.3226 r_LSST 186.1109 2.4789 21.825570291908054 0.014461556746241165
OBS: 61710.2982 i_LSST 222.7908 5.2779 21.630257045362587 0.025720893938705955
OBS: 61706.2729 i_LSST 284.298 10.2902 21.36556563885747 0.0392983529462687
OBS: 61706.2487 r_LSST 213.1173 6.4166 21.678453315317487 0.0326898899774887
END:
