# 100011 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2025.06.23 (yyyy.mm.dd); 12.21 hrs (PDT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 100011
MWEBV: 0.046056967
REDSHIFT_HELIO: 1.1110372951162573
REDSHIFT_CMB: 1.1110372951162573
REDSHIFT_CMB_ERR: 0.10526584
PEAKMJD: 61537.3928
FILTERS: i_LSST,r_LSST,z_LSST
# -----------------------------------------------------------
NOBS: 21
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 61585.3275 i_LSST 8.1804 10.0452 25.218061486541945 1.3332408955016966
OBS: 61585.3033 r_LSST 4.1159 7.4726 25.963844309548804 1.9712215725607505
OBS: 61584.3433 z_LSST 6.9842 20.8326 25.389708294758734 3.238561234327545
OBS: 61583.3585 i_LSST 6.5885 8.8716 25.45304134111754 1.4619917909842357
OBS: 61583.3344 r_LSST 4.3285 4.6826 25.909147308175186 1.1745452752548888
OBS: 61583.3165 z_LSST 19.881 12.5316 24.25390333047894 0.6843701464530247
OBS: 61583.2917 i_LSST 22.7539 8.8716 24.107361913247132 0.42332426493717434
OBS: 61560.3945 z_LSST 26.8562 32.65 23.927390133596663 1.3199670907158347
OBS: 61558.2946 r_LSST 8.385 5.7706 25.191235980876616 0.747204246782475
OBS: 61556.2544 i_LSST 15.062 10.782 24.555290778343245 0.7772093042583035
OBS: 61556.2304 r_LSST nan nan nan 37.941160234650376
OBS: 61551.4308 z_LSST 15.461 14.2009 24.526902617438452 0.9972447560127692
OBS: 61541.3624 i_LSST 32.675 5.5528 23.7144613672572 0.18451008883798867
OBS: 61541.362 i_LSST 25.484 5.5528 23.984330677088046 0.23657445152260814
OBS: 61541.3383 r_LSST 12.3868 3.724 24.767597997465373 0.3264155136013858
OBS: 61541.3378 r_LSST 12.2974 3.724 24.77547062745104 0.32879094115000423
OBS: 61537.3933 i_LSST 17.5033 8.306 24.392199785269966 0.5152217579816699
OBS: 61537.3928 i_LSST 33.4744 8.306 23.68821803063604 0.26940242042048046
OBS: 61537.3818 r_LSST 1.6279 4.2584 26.97090047219342 2.8401003577083213
OBS: 61537.3813 r_LSST 4.6554 4.2584 25.83011379246182 0.9931595308084339
OBS: 61524.3961 r_LSST 6.5026 7.7693 25.467287787294786 1.297246021972492
END:
